Row #,Species,Count,Location,S/P,Date,LocID,SubID
175,Gray-chinned Hermit - Phaethornis griseogularis,1,Refugio de Vida Silvestre Laquipampa,PE-LAM,04 Jan 2014,L1810924,S16284282
176,Reddish Hermit - Phaethornis ruber,1,Manú Wildlife Center (Valqui A5.1),PE-MDD,07 Oct 2012,L599450,S11792399
177,White-browed Hermit - Phaethornis stuarti,1,Manú Learning Centre--Jardin de Colibrí,PE-MDD,20 Jun 2012,L1599928,S11037562
178,Planalto Hermit - Phaethornis pretrei,1,Waqanki/Quebrada Mishquiyaquillo,PE-SAM,16 Jun 2013,L1849133,S14473599
179,Green-fronted Lancebill - Doryfera ludovicae,2,Carretera a Manú--Tanager Corner a Thousand-meter Bridge (1100-1300m),PE-CUS,01 Aug 2012,L1004833,S11299258
180,Blue-fronted Lancebill - Doryfera johannae,1,Carretera a Manú--Tanager Corner a Thousand-meter Bridge (1100-1300m),PE-CUS,27 Jul 2014,L1004833,S19560043
181,Geoffroy's Daggerbill - Schistes geoffroyi,1,Manú Cloud Forest Lodge (1500-1700m),PE-CUS,02 Aug 2012,L1004831,S11299398
182,Sparkling Violetear - Colibri coruscans,1,Cusco--Cusco--Llaullipata (private reserve),PE-CUS,03 Dec 2011,L1437847,S10503460
183,Brown Violetear - Colibri delphinae,1,RNA Proaves El Dorado--Lodge,CO-MAG,09 Jan 2013,L2141124,S12570287
184,Lesser Violetear - Colibri cyanotus,10,RNA Proaves El Dorado--Lodge,CO-MAG,09 Jan 2013,L2141124,S12570287
185,Purple-crowned Fairy - Heliothryx barroti,1,PN Cerros de Amotape--Estación Policial Cabo Cotrina,PE-TUM,09 Feb 2019,L7516837,S52644050
186,Black-eared Fairy - Heliothryx auritus,1,Amazonía Lodge,PE-MDD,19 Sep 2012,L1004838,S11683877
187,Ruby-topaz Hummingbird - Chrysolampis mosquitus,1,César--Before main gate of 'Ecoparque los Besotes' (Valledupar),CO-CES,04 Feb 2015,L3407368,S22019809
188,Black-throated Mango - Anthracothorax nigricollis,3,Hotel Minca,CO-MAG,20 Jan 2013,L2768764,S12676878
189,Amethyst-throated Sunangel - Heliangelus amethysticollis,1,Carretera a Manú--Paso Acjanaco (Valqui A1.1),PE-CUS,28 Apr 2012,L1004908,S10605278
190,Tourmaline Sunangel - Heliangelus exortis,1,La 'M',CO-CHO,06 Jan 2015,L3283729,S21290519
191,Little Sunangel - Heliangelus micraster,1,"Ecuador--?--?--Jimbura - San Andrés, Chinchipe EC-Zamora Chinchipe -4.79047, -79.36314",EC-Z,16 Feb 2020,L10797812,S64678872
192,Purple-throated Sunangel - Heliangelus viola,1,"PE-Cajamarca Region - -6.7850x-77.9283 - Jun 18, 2013, 5:01 PM",PE-AMA,14 Jun 2013,L2237792,S14467247
193,Royal Sunangel - Heliangelus regalis,2,Carretera 5N--puente a frontera de Dept. San Martin,PE-AMA,16 Jun 2013,L1233036,S14473615
194,Wire-crested Thorntail - Discosura popelairii,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,29 Apr 2012,L599445,S10605284
195,Black-bellied Thorntail - Discosura langsdorffi,1,Flor de Café/Plataforma,PE-SAM,21 Dec 2016,L2455165,S33182083
196,Rufous-crested Coquette - Lophornis delattrei,1,Manú Learning Centre--Jardin de Colibrí,PE-MDD,15 Jun 2012,L1599928,S11037556
